nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio,precio_litro_final,marca
Leche Santa Clara entera 1.5 l,$54.00,https://www.walmart.com.mx/ip/leche-santa-clara-entera-1-5-l/00750105537546?athbdg=L1506&from=/search,Walmart,2026-04-24T23:36:03.076Z,54.0,1.5,L,36.0,Lacteos,False,36.0,Santa Clara
Leche Santa Clara light de 1 l,$37.00,https://www.walmart.com.mx/ip/leche-santa-clara-light-de-1-l/00750129560014?athbdg=L1506&from=/search,Walmart,2026-04-24T23:36:03.076Z,37.0,1.0,L,37.0,Lacteos,False,37.0,Santa Clara
Leche Alpura deslactosada 1 l,$37.00,https://www.walmart.com.mx/ip/leche-alpura-deslactosada-1-l/00750105590142?athbdg=L1506&from=/search,Walmart,2026-04-24T23:36:03.077Z,37.0,1.0,L,37.0,Lacteos,False,37.0,Alpura
Leche Alpura light 1 l,$36.00,https://www.walmart.com.mx/ip/leche-alpura-light-1-l/00750105590080?athbdg=L1506&from=/search,Walmart,2026-04-24T23:36:03.077Z,36.0,1.0,L,36.0,Lacteos,False,36.0,Alpura
Leche Great Value Deslactosada 1.5 Lts,$40.00,https://www.walmart.com.mx/ip/leche-great-value-deslactosada-1-5-lts/00750649501846?from=/search,Walmart,2026-04-24T23:36:03.077Z,40.0,1.5,L,26.666666666666668,Lacteos,False,26.666666666666668,Great Value
Leche Great Value Deslactosada Light 1.5 Lts,$40.00,https://www.walmart.com.mx/ip/leche-great-value-deslactosada-light-1-5-lts/00750649501848?from=/search,Walmart,2026-04-24T23:36:03.077Z,40.0,1.5,L,26.666666666666668,Lacteos,False,26.666666666666668,Great Value
Leche Alpura deslactosada light 1.5 l,$51.00,https://www.walmart.com.mx/ip/leche-alpura-deslactosada-light-1-5-l/00750105591341?from=/search,Walmart,2026-04-24T23:36:03.077Z,51.0,1.5,L,34.0,Lacteos,False,34.0,Alpura
Leche Great Value deslactosada caja con 6 pzas de 1 l c/u,$153.00,https://www.walmart.com.mx/ip/leche-great-value-deslactosada-caja-con-6-pzas-de-1-l-c-u/00750649501427?from=/search,Walmart,2026-04-24T23:36:03.077Z,153.0,6.0,pzas,25.5,Lacteos,False,25.5,Great Value
Leche Lala UHT deslactosada light baja en grasa 1.5 l,$54.00,https://www.walmart.com.mx/ip/leche-lala-uht-deslactosada-light-baja-en-grasa-1-5-l/00750102055344?from=/search,Walmart,2026-04-24T23:36:03.077Z,54.0,1.5,L,36.0,Lacteos,False,36.0,Lala
Leche Great Value entera 1 l,$23.00,https://www.walmart.com.mx/ip/leche-great-value-entera-1-l/00750649502153?from=/search,Walmart,2026-04-24T23:36:03.077Z,23.0,1.0,L,23.0,Lacteos,False,23.0,Great Value
Leche Great Value Entera 1.5 Lts,$40.00,https://www.walmart.com.mx/ip/leche-great-value-entera-1-5-lts/00750649501847?from=/search,Walmart,2026-04-24T23:36:03.077Z,40.0,1.5,L,26.666666666666668,Lacteos,False,26.666666666666668,Great Value
Leche fresca Lala fresca entera 1.8 l,$53.00,https://www.walmart.com.mx/ip/leche-fresca-lala-fresca-entera-1-8-l/00750102054704?from=/search,Walmart,2026-04-24T23:36:03.077Z,53.0,1.8,L,29.444444444444443,Lacteos,False,29.444444444444443,Lala
Leche Lala UHT entera 1 l,$37.00,https://www.walmart.com.mx/ip/leche-lala-uht-entera-1-l/00750102056593?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.077Z,37.0,1.0,L,37.0,Lacteos,False,37.0,Lala
Leche fresca Lala fresca entera 3.78 l,$101.00,https://www.walmart.com.mx/ip/leche-fresca-lala-fresca-entera-3-78-l/00750102050008?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.077Z,101.0,3.78,L,26.71957671957672,Lacteos,False,26.71957671957672,Lala
